ID,ISBN,TITULO,AUTOR,EDITORA,PAGINAS,IDIOMA,CLASSIFICACAO,ANOPUBLICACAO
0,1234567891093,Jogos Vorazes,Suzanne Collins,Rocco,500,Português,12,2012
1,1234567891094,Incrível homem aranha,Stan Lee & Steve Ditko,Marvel Comics,501,Português,13,2013
2,1234567891095,Os irmãos Karamazov,Fyodor Dostoevsky,RanchCo,502,Português,14,2014
3,1234567891096,A história do mundo medieval,Susan Wies Bauer,WTEnterprises,503,Português,15,2015
4,1234567891097,Anna Karenina,Leo Tolstoy,HVision Co.,504,Português,16,2016
5,1234567891098,Orgulho e Preconceito,Jane Austen,MMindLLC,505,Português,17,2017
6,1234567891099,Batman - O Cavaleiro das Trevas Retorna,Frank Miller,DC Comics,506,Português,18,2018
7,1234567891100,Nas Montanhas da Loucura,H. P. Lovecraft,HVision Co.,507,Português,19,2019
8,1234567891101,Sobre a Natureza do Universo,Lucretius,Opto Herald,508,Português,20,2020
9,1234567891102,Fábulas,Bill Willingham,DC Comics,509,Português,21,2021
10,1234567891103,Sobre a Natureza do Universo,Lucretius,WTEnterprises,510,Português,22,2022
11,1234567891104,Harry Potter e a Pedra Filosofal,J. K. Rowling,MMindLLC,511,Português,23,2023
12,1234567891105,Anna Karenina,Leo Tolstoy,Opto Herald,512,Português,24,2024
13,1234567891106,O senhor dos Anéis,J. R. R. Tolkien,RanchCo,513,Português,25,2025
14,1234567891107,A história do mundo antigo,Susan Wise Bauer,WTEnterprises,514,Português,26,2026
15,1234567891108,O bloco de notas,Nicholas Sparks,MMindLLC,515,Português,27,2027
17,1234567891114,Em chamas,Suzanne Cólins,Rocco,230,Português,12,2012
18,1234567891234,Budapeste,Chico Buarque,Rocco,400,Português,20,2014
19,1234567891236,1984 Córação,George Orwell,rocco,400,Português,12,2012
